Upload an Image,Prediction Results,Annotated Image,timestamp
.gradio\flagged\Upload an Image\995206cf373c72b11d21\Dhana sris pic.jpg,"Aging Signs:
- dark spots: 26.9%
- wrinkles: 26.2%
- puffy eyes: 23.9%
Age: 33",.gradio\flagged\Annotated Image\5c102212ab2f9f43abf3\image.webp,2025-10-28 17:59:57.137839
.gradio\flagged\Upload an Image\c5853b9e85e9ec1ef00d\Dhana sris pic.jpg,"Aging Signs:
- dark spots: 26.9%
- wrinkles: 26.2%
- puffy eyes: 23.9%
Age: 33",.gradio\flagged\Annotated Image\d4d662201b6982db6611\image.webp,2025-10-28 18:00:04.840231
